[I 2026-05-21 22:11:19,656] A new study created in memory with name: no-name-1f849250-cfeb-4c8f-bb42-de7fac3c0aed
[I 2026-05-21 22:15:17,057] Trial 75 finished with value: 73.34943333375044 and parameters: {'bias_alpha': 0.9859624491499333, 'bias_combine_ratio': 0.44232529562151035, 'max_weight': 0.7100238238013772, 'mape_window': 34, 'bias_window': 11, 'short_vol_window': 10}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:15:20,287] Trial 76 finished with value: 73.35405246930475 and parameters: {'bias_alpha': 0.9948871049173114, 'bias_combine_ratio': 0.4095161396257091, 'max_weight': 0.7663620374753723, 'mape_window': 37, 'bias_window': 12, 'short_vol_window': 13}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:15:23,464] Trial 77 finished with value: 73.35384168338867 and parameters: {'bias_alpha': 0.9901582353990691, 'bias_combine_ratio': 0.41985142547093196, 'max_weight': 0.7766939852376611, 'mape_window': 45, 'bias_window': 12, 'short_vol_window': 12}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:15:26,499] Trial 78 finished with value: 73.35351674851125 and parameters: {'bias_alpha': 0.9828813617069666, 'bias_combine_ratio': 0.44243037330320145, 'max_weight': 0.751012170566418, 'mape_window': 38, 'bias_window': 11, 'short_vol_window': 11}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:15:29,515] Trial 79 finished with value: 73.3529047774818 and parameters: {'bias_alpha': 0.9692181272524903, 'bias_combine_ratio': 0.4266527596009483, 'max_weight': 0.8047498963939006, 'mape_window': 30, 'bias_window': 14, 'short_vol_window': 11}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:15:32,624] Trial 80 finished with value: 73.3458994848192 and parameters: {'bias_alpha': 0.9781980386344914, 'bias_combine_ratio': 0.30027542798988127, 'max_weight': 0.7695755723481581, 'mape_window': 32, 'bias_window': 11, 'short_vol_window': 8}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:15:35,690] Trial 81 finished with value: 73.35422594504257 and parameters: {'bias_alpha': 0.998782489307105, 'bias_combine_ratio': 0.4354971680807034, 'max_weight': 0.7560827289747131, 'mape_window': 35, 'bias_window': 12, 'short_vol_window': 12}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:15:38,845] Trial 82 finished with value: 73.35425908475563 and parameters: {'bias_alpha': 0.9995272712416974, 'bias_combine_ratio': 0.4358351155325863, 'max_weight': 0.7592637817055837, 'mape_window': 36, 'bias_window': 12, 'short_vol_window': 12}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:15:41,924] Trial 83 finished with value: 73.35378501667482 and parameters: {'bias_alpha': 0.9888875295032923, 'bias_combine_ratio': 0.4462415867532793, 'max_weight': 0.7373710288509737, 'mape_window': 34, 'bias_window': 13, 'short_vol_window': 11}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:15:45,037] Trial 84 finished with value: 73.35404638867342 and parameters: {'bias_alpha': 0.9947499149401202, 'bias_combine_ratio': 0.4145315759800937, 'max_weight': 0.7613243854400229, 'mape_window': 36, 'bias_window': 12, 'short_vol_window': 12}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:15:48,257] Trial 85 finished with value: 73.35408249703342 and parameters: {'bias_alpha': 0.9955611819132238, 'bias_combine_ratio': 0.40288158730393775, 'max_weight': 0.7505431659606703, 'mape_window': 37, 'bias_window': 13, 'short_vol_window': 13}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:15:51,281] Trial 86 finished with value: 73.35388432068316 and parameters: {'bias_alpha': 0.9911134181819714, 'bias_combine_ratio': 0.42556125420574853, 'max_weight': 0.7675568839388007, 'mape_window': 35, 'bias_window': 12, 'short_vol_window': 11}. Best is trial 46 with value: 73.3542798374461.
